@s.inf.shizuoka.ac.jp,@s.inf.shizuoka.ac.jp
@s.inf.shizuoka.ac.jp,＠めるあど
1000行,1000ぎょう
1000行レポート,1000ぎょうれぽーと
アルゴリズムとデータ構造,AD
アルゴリズムとデータ構造Ⅱ,ＡＤⅡ
AVL木,AVLき
B*木,B*き
BM法,BMほう
B木,Bき
C&C,C&C
CPU,CPU
C言語,Cげんご
決定性有限オートマトン,DFA
Discussion and Report in English on General Systems Theory,Discussion and Report in English on General Systems Theory
DR,DR
EnglishThesisWriting,EnglishThesisWriting
ID演習,IDえんしゅう
ＩＳ演習,ＩＳえんしゅう
IT技術倫理と社会,ITぎじゅつりんりとしゃかい
Linux,Linux
非決定性有限オートマトン,NFA
NULL,NULL
プッシュダウン・オートマトン,PDA
プロファイラ,Profiler
timeコマンド,timeこまんど
巡回セールスマン問題,TSP
Tくん,Tくん
Webシステム設計演習,Webしすてむせっけいえんしゅう
Webデザイン論,Webでざいんろん
アーキテクチャ設計論,あーきてくちゃせっけいろん
青木・木谷,あおき・きたに
アクセス,あくせす
ありがとうございます。,ありがとうございます。
アルゴリズム,あるごりずむ
アルゴリズムとデータ構造,あるごりずむとでーたこうぞう
アンケート,あんけーと
安定,あんてい
池津,いけづ
岩崎,いわさき
イングリッシュディベート1,いんぐりっしゅでぃべーと1
イングリッシュディベート2,いんぐりっしゅでぃべーと2
鬱,うつ
うるさい,うるさい
Excel,えくせる
エラー,えらー
演算,えんざん
演算子,えんざんし
オートマトン,おーとまとん
オートマトンと計算理論,おーとまとんとけいさんりろん
オープンアドレス法,おーぷんあどれすほう
お腹がすいた,おなかすいた
鬼,おに
オブジェクト指向,おぶじぇくとしこう
オペレーティングシステム,おぺれーてぃんぐしすてむ
思い知らされた,おもいしらされた
音声情報処理論,おんせいじょうほうしょりろん
科2実,か2み
カーソル,かーそる
外書講読,がいしょこうどく
階層,かいそう
外部記憶,がいぶきおく
外部整列,がいぶせいれつ
概要,がいよう
各研究室,かくけんきゅうしつ
学習マネジメント,がくしゅうまねじめんと
梶,かじ
仮想記憶,かそうきおく
画像情報処理論,がぞうじょうほうしょりろん
課題,かだい
神,かみ
関係,かんけい
関数,かんすう
完全二分木,かんぜんにぶんぎ
感想,かんそう
木,き
キー,きー
企業情報システム論,きぎょうじょうほうしすてむろん
木構造,きこうぞう
疑似プログラム,ぎじぷろぐらむ
基数ソート,きすうそーと
逆ポーランド記法,ぎゃくぽーらんどきほう
キャッシュ,きゃっしゅ
キャッシュメモリ,きゃっしゅめもり
キャッシング,きゃっしんぐ
キャリアデザイン,きゃりあでざいん
キュー,きゅー
教育と社会,きょういくとしゃかい
教育の原理,きょういくのげんり
境界条件,きょうかいじょうけん
行列,ぎょうれつ
クイーン,くいーん
クイックソート,くいっくそーと
クラスタ,くらすた
グラフ,ぐらふ
繰り返し,くりかえし
グループワーク,ぐるーぷわーく
グローバリゼーションと社会,ぐろーばりぜーしょんとしゃかい
計算,けいさん
計算過程論,けいさんかていろん
計算量,けいさんりょう
計測,けいそく
経路,けいろ
DFA,けっていせいおーとまとん
決定性有限オートマトン,けっていせいゆうげんおーとまとん
工学部５号館(システム棟)電子計算機室,こうがくぶ５ごうかん(しすてむとう)でんしけいさんきしつ
交換,こうかん
降順,こうじゅん
構造体,こうぞうたい
後置記法,こうちきほう
構文木,こうぶんぎ
小暮悟先生,こぐれさとるせんせい
小西,こにし
コマンドライン,こまんどらいん
コマンドライン引数,こまんどらいん引数
コミュニケーション・デザイン論,こみゅにけーしょん・でざいんろん
コミュニケーションスキルズⅠ,こみゅにけーしょんすきるずⅠ
コミュニケーションスキルズⅡ-2,こみゅにけーしょんすきるずⅡ-2
コミュニケーション論,こみゅにけーしょんろん
コミュニティデザイン特論,こみゅにてぃでざいんとくろん
コミュニティデザイン論,こみゅにてぃでざいんろん
コミュニティデザイン論演習,こみゅにてぃでざいんろんえんしゅう
コミュニティ発展論,こみゅにてぃはってんろん
近藤,こんどう
コンパイラ,こんぱいら
コンパイル,こんぱいる
コンピュータ,こんぴゅーた
コンピュータ設計Ⅰ,こんぴゅーたせっけいⅠ
コンピュータネットワーク,こんぴゅーたねっとわーく
再帰,さいき
再帰呼び出し,さいきよびだし
最大計算量,さいだいけいさんりょう
酒井,さかい
佐藤龍,さとうりゅう
サブルーチン,さぶるーちん
参考文献,さんこうぶんけん
CSVファイル,しーえすぶいふぁいる
シェルソート,しぇるそーと
時間,じかん
蜆塚,しじみづか
静岡大学,しずおかだいがく
自治体行政論,じちたいぎょうせいろん
視聴覚教育メディア論,しちょうかくきょういくめでぃあろん
実行,じっこう
実行結果,じっこうけっか
実行時間,じっこうじかん
実用英語特論,じつようえいごとくろん
嶋,しま
シミュレーション,しみゅれーしょん
〆切,しめきり
社会調査論,しゃかいちょうさろん
社会モデル及びシミュレーション,しゃかいもでるおよびしみゅれーしょん
謝辞,しゃじ
主記憶,しゅきおく
出力結果,しゅつりょくけっか
受理,じゅり
TSP,じゅんかいせーるすまんもんだい
循環,じゅんかん
順序木,じゅんじょぎ
情11,じょう11
情12,じょう12
情13,じょう13
情14,じょう14
情21,じょう21
情22,じょう22
情23,じょう23
情24,じょう24
情24・科2実,じょう24・か2み
情25,じょう25
情26,じょう26
情27,じょう27
昇順,しょうじゅん
状態遷移,じょうたいせんい
衝突,しょうとつ
情報科学科,じょうほうかがくか
情報科学実験Ⅱ,じょうほうかがくじっけんⅡ
情報科学実験Ⅲ,じょうほうかがくじっけんⅢ
情報拡散過程論,じょうほうかくさんかていろん
情報学特別講義Ⅰ,じょうほうがくとくべつこうぎⅠ
情報学部,じょうほうがくぶ
情報学方法論演習,じょうほうがくほうほうろんえんしゅう
情報技術思想論,じょうほうぎじゅつしそうろん
情報資源総論,じょうほうしげんそうろん
情報資産構築論,じょうほうしさんこうちくろん
情報システムと情報技術,じょうほうしすてむとじょうほうぎじゅつ
情報システムと情報社会デザイン,じょうほうしすてむとじょうほうしゃかいでざいん
情報社会思想,じょうほうしゃかいしそう
情報社会セキュリティ論,じょうほうしゃかいせきゅりてぃろん
情報職業論,じょうほうしょくぎょうろん
情報処理,じょうほうしょり
情報政策特論,じょうほうせいさくとくろん
情報代数及び符号理論,じょうほうだいすうおよびふごうりろん
初期状態,しょきじょうたい
新谷,しんたに
数式,すうしき
枢軸,すうじく
スキャン,すきゃん
スタック,すたっく
スタックポインタ,すたっくぽいんた
頭痛,ずつう
ステップ,すてっぷ
することができた,することができた
正規表現,せいきひょうげん
静的割り当て,せいてきわりあて
整列,せいれつ
セル,せる
1000行レポート,せんぎょうれぽーと
線形代数,せんけいだいすう
線形探索,せんけいたんさく
線形探索法,せんけいたんさくほう
線形リスト,せんけいりすと
選択,せんたく
選択ソート,せんたくそーと
前置記法,ぜんちきほう
挿入,そうにゅう
挿入ソート,そうにゅうそーと
双方向リスト,そうほうこうりすと
双方向連結リスト,そうほうこうれんけつりすと
添え字,そえじ
ソーケンシャルアクセス,そーけんしゃるあくせす
ソース,そーす
ソート,そーと
組織科学,そしきかがく
組織図,そしきず
ソフトウェア工学応用演習,そふとうぇあこうがくおうようえんしゅう
大変,たいへん
高松,たかまつ
竹林,たけばやし
助けてもらった,たすけてもらった
楽しかった,たのしかった
多分木,たぶんぎ
多分探索木,たぶんたんさくぎ
足りない,たりない
探索,たんさく
探索木,たんさくぎ
単純なアルゴリズム,たんじゅんなあるごりずむ
断片化,だんぺんか
端末,たんまつ
チェイン法,ちぇいんほう
知的インターフェース論,ちてきいんたーふぇーすろん
知的財産論,ちてきざいさんろん
知的情報システム開発,ちてきじょうほうしすてむかいはつ
中央値,ちゅうおうち
抽象データ型,ちゅうしょうでーたがた
地理情報システム論,ちりじょうほうしすてむろん
疲れた,つかれた
つらい,つらい
ディジタル信号処理,でぃじたるしんごうしょり
提出期限,ていしゅつきげん
データ,でーた
データ工学,でーたこうがく
データ構造,でーたこうぞう
データベースシステム論,でーたべーすしすてむろん
テキスト,てきすと
天使,てんし
電子メディア特論,でんしめでぃあとくろん
電子メディア論,でんしめでぃあろん
統計学入門,とうけいがくにゅうもん
動的計画法,どうてきけいかくほう
特別活動論,とくべつかつどうろん
内部整列,ないぶせいれつ
中区,なかく
中藤井,なかふじい
二分木,にぶんぎ
二分探索,にぶんたんさく
二分探索木,にぶんたんさくぎ
二分探索法,にぶんたんさくほう
日本語Ⅵ,にほんごⅥ
日本語III,にほんごIII
日本語IV,にほんごIV
日本語教室,にほんごきょうしつ
認知科学,にんちかがく
認知心理学,にんちしんりがく
眠い,ねむい
ノイローゼ,のいろーぜ
ノード,のーど
飲み物,のみもの
葉,は
ハードディスク,はーどでぃすく
バイナリサーチ,ばいなりさーち
配列,はいれつ
バグ,ばぐ
博物館教育論,はくぶつかんきょういくろん
博物館情報・メディア論,はくぶつかんじょうほう・めでぃあろん
バケット,ばけっと
場所,ばしょ
パターン,ぱたーん
パターンマッチ,ぱたーんまっち
バックトラック法,ばっくとらっくほう
ハッシュ,はっしゅ
ハッシュ関数,はっしゅかんすう
ハッシュ値,はっしゅち
ハッシュ表,はっしゅひょう
ハッシュ法,はっしゅほう
バブルソート,ばぶるそーと
浜松市,はままつし
班順序木,はんじゅんじょぎ
ヒープ,ひーぷ
ヒープソート,ひーぷそーと
比較,ひかく
NFA,ひけっていせいゆうげんおーとまとん
ビジネス計画論,びじねすけいかくろん
微分積分学Ⅱ(科1),びぶんせきぶんがくⅡ(か1)
ヒューマンインタフェース及び演習,ひゅーまんいんたふぇーすおよびえんしゅう
ビンソート,びんそーと
ファイル,ふぁいる
複素数,ふくそすう
福田直樹先生,ふくだなおきせんせい
腹痛,ふくつう
PDA,ぷっしゅだうんおーとまとん
部分木,ぶぶんぎ
プリプロセッサ,ぷりぷろせっさ
ブルームフィルタ,ぶるーむふぃるた
プレーバー,ぷれーばー
プログラミング,ぷろぐらみんぐ
プログラミング言語論,ぷろぐらみんぐげんごろん
プログラミング方法論,ぷろぐらみんぐほうほうろん
プログラム,ぷろぐらむ
プロジェクトマネジメント,ぷろじぇくとまねじめんと
ブロック,ぶろっく
プロファイラ,ぷろふぁいら
分割,ぶんかつ
分布数え上げソート,ぶんぷかぞえあげそーと
平均計算量,へいきんけいさんりょう
ページランク,ぺーじらんく
変数,へんすう
変数名,へんすうめい
ポインタ,ぽいんた
ボトムアップ,ぼとむあっぷ
ボトルネック,ぼとるねっく
本文,ほんぶん
マージ,まーじ
マージソート,まーじそーと
待ち行列,まちぎょうれつ
宮崎,みやざき
無限ループ,むげんるーぷ
無順序木,むじゅんじょぎ
無茶,むちゃ
無理,むり
メディア・スタディーズ,めでぃあ・すたでぃーず
メディア・スタディーズ演習,めでぃあ・すたでぃーずえんしゅう
メディアリテラシー,めでぃありてらしー
メモリ,めもり
メモリ管理,めもりかんり
@s.inf.shizuoka.ac.jp,めるあど
面倒くさい,めんどくさい
メンバ,めんば
目的,もくてき
文字クラス,もじくらす
文字数,もじすう
文字列,もじれつ
戻りアドレス,もどりあどれす
戻り値,もどりち
やめてほしい,やめてほしい
有限オートマトン,ゆうげんおーとまとん
ユーザ,ゆーざ
ユーザビリティ設計・評価論,ゆーざびりてぃせっけい・ひょうかろん
優先順位,ゆうせんじゅんい
優先順位付き待ち行列,ゆうせんじゅんいつきまちぎょうれつ
要素,ようそ
吉田,よしだ
ライティングスキルズII-1,らいてぃんぐすきるずII-1
ライティングスキルズII-2,らいてぃんぐすきるずII-2
ラベル,らべる
乱数,らんすう
ランダム,らんだむ
ランダムアクセス,らんだむあくせす
リア充,りあじゅう
リーディングスキルズⅠ-1,りーでぃんぐすきるずⅠ-1
リーディングスキルズⅡ-3,りーでぃんぐすきるずⅡ-3
リスト,りすと
Linux,りなっくす
リンク,りんく
リングバッファ,りんぐばっふぁ
歴史史料演習Ⅰ,れきししりょうえんしゅうⅠ
列,れつ
列挙,れっきょ
レベル,れべる
連結,れんけつ
連結リスト,れんけつりすと
計算結果,計算結果
線形代数学,線形代数学
配列,配列